StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24
2021-12-07 14:31:54,2021-12-07 14:33:21,IP Address,128.237.82.12,100,86,True,2021-12-07 14:33:21,R_1IdeO2cVg5dwc9N,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Often,3,To travel short distances/convenience,I prefer driving/being driven,Payment issues,2: Minimally safe,3: It’s slightly expensive,"No, but I ride SPIN scooters",No,3,,,Male,18-25,"No "," < 1 mile",15213,"$100,000 to 149,999","Yes ","Walk "
2021-12-07 14:31:44,2021-12-07 14:33:46,IP Address,174.203.96.146,100,121,True,2021-12-07 14:33:46,R_1LdOnYI2bkO790t,,,,,40.269195556640625,-80.161102294921875,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Very Frequently,5,"Commuting to school,To travel short distances/convenience,For leisure",Other,"Insufficient battery ",3: Partially safe,2: It’s fairly priced,"No, but I ride SPIN scooters",,,Yes,Yes,Male,18-25,"No ",1.1 - 2 miles,15217,"$1 to $9,999","Yes ","Walk "
2021-12-07 14:32:54,2021-12-07 14:34:34,IP Address,128.237.82.8,100,100,True,2021-12-07 14:34:34,R_3eqAjloQ9lWFrx7,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,No,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Very Frequently,3,"Commuting to school,To travel short distances/convenience",Other,"Damaged scooter ,Insufficient battery ,Couldn't unlock the scooter ,Unavailability",5: Perfectly safe,3: It’s slightly expensive,"No, but I ride SPIN scooters",Yes,5,,,Male,25-30,"No "," < 1 mile",15232,Prefer not to answer,"Yes ","Walk "
2021-12-07 14:32:07,2021-12-07 14:34:38,IP Address,172.58.206.212,100,151,True,2021-12-07 14:34:38,R_BG1q5XkvRKV16bD,,,,,40.014892578125,-75.14389801025390625,anonymous,EN,No,Carnegie Mellon University,Yes,I have not had any experiences with electric scooters,Never,0,I don't use scooters,"I do not think scooters are safe ","Vague instructions ",1: Not very safe,3: It’s slightly expensive,No,No,1,,,Female,18-25,"No ",1.1 - 2 miles,15232,Prefer not to answer,"Yes ","Walk ,Public transportation"
2021-12-07 14:31:36,2021-12-07 14:35:11,IP Address,128.2.149.254,100,214,True,2021-12-07 14:35:11,R_9tzsFgESLT9NHMZ,,,,,40.4394989013671875,-79.94300079345703125,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have seen a person (or people) on an electric scooter in the street,Never,0,I don't use scooters,"I prefer walking  ","Insufficient battery ",1: Not very safe,5: It’s very expensive,No,No,0,,,Male,18-25,"No "," < 1 mile",15213,"$25,000 to 49,999 ","Yes ","Walk "
2021-12-07 14:32:51,2021-12-07 14:35:36,IP Address,128.2.149.254,100,165,True,2021-12-07 14:35:36,R_21HV3VGRf80Gvq3,,,,,40.4394989013671875,-79.94300079345703125,anonymous,EN,No,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Sometimes,1,For leisure,Other,"Insufficient battery ,Couldn't unlock the scooter ",2: Minimally safe,2: It’s fairly priced,"No, but I ride SPIN scooters",,,No,No,Male,25-30,"No ",2.1 - 5 miles,15201,"$50,000 to 74,999","Yes ",Car
2021-12-07 14:33:39,2021-12-07 14:35:39,IP Address,128.237.82.15,100,120,True,2021-12-07 14:35:39,R_3OS9vFoDcnBdV8l,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,No,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Very Frequently,6,For leisure,Other,"Couldn't unlock the scooter ",5: Perfectly safe,3: It’s slightly expensive,No,,,Yes,Yes,Male,18-25,"No "," < 1 mile",Idk,Prefer not to answer,"Yes ","Walk "
2021-12-07 14:33:46,2021-12-07 14:36:41,IP Address,128.237.82.9,100,174,True,2021-12-07 14:36:41,R_8zVcO7tUXLM58eR,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Rarely,0,"To travel short distances/convenience,For leisure",Other,"Couldn't unlock the scooter ",2: Minimally safe,2: It’s fairly priced,No,Yes,7,,,Male,18-25,"No "," < 1 mile",15213,"$50,000 to 74,999","Yes ","Walk "
2021-12-07 14:34:47,2021-12-07 14:36:58,IP Address,172.58.184.159,100,131,True,2021-12-07 14:36:59,R_28CKXjBOqIvKFJJ,,,,,40.5023956298828125,-79.94899749755859375,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have seen a person (or people) on an electric scooter in the street,Never,0,I don't use scooters,"I just never got the chance to try it out, but I am inclined to soon",Unavailability,3: Partially safe,3: It’s slightly expensive,No,,,Yes,Yes,Male,25-30,"No ",2.1 - 5 miles,15206,"$10,000 to $24,999","Yes ","Walk ,Public transportation"
2021-12-07 14:33:56,2021-12-07 14:37:10,IP Address,128.237.82.12,100,193,True,2021-12-07 14:37:10,R_C8OAJVmMneiwPex,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Rarely,0,To travel short distances/convenience,I prefer taking the bus,Payment issues,5: Perfectly safe,5: It’s very expensive,"No, but I ride SPIN scooters",,,Yes,Yes,Male,18-25,"No "," < 1 mile",.,"$75,000 to 99,999","Yes ","Walk "
2021-12-07 14:33:46,2021-12-07 14:37:20,IP Address,128.237.82.15,100,213,True,2021-12-07 14:37:20,R_1MKfBh0E28uyJnc,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Rarely,0,For leisure,Other,"Insufficient battery ",4: Acceptably safe,4: It’s expensive,"No, but I ride SPIN scooters",Yes,7,,,Male,18-25,"No "," < 1 mile",15213,Prefer not to answer,"Yes ","Walk "
2021-12-07 14:36:46,2021-12-07 14:38:44,IP Address,107.116.7.7,100,118,True,2021-12-07 14:38:45,R_1QKoOomHSEWxRTT,,,,,42.4651947021484375,-83.37129974365234375,anonymous,EN,Yes,Carnegie Mellon University,No,I have not had any experiences with electric scooters,Never,0,I don't use scooters,I prefer taking the bus,Unavailability,5: Perfectly safe,4: It’s expensive,No,Yes,3,,,Male,18-25,"No ",1.1 - 2 miles,15217,"$0 ","Yes ",Public transportation
2021-12-07 14:36:42,2021-12-07 14:39:40,IP Address,128.237.82.12,100,177,True,2021-12-07 14:39:40,R_1g6fcXqkieLTVPX,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have not had any experiences with electric scooters,Never,0,I don't use scooters,I prefer driving/being driven,"Couldn't unlock the scooter ",3: Partially safe,3: It’s slightly expensive,No,,,No,No,Female,18-25,"No "," < 1 mile",15230,Prefer not to answer,"Yes ",Car
2021-12-07 14:38:30,2021-12-07 14:40:09,IP Address,128.237.82.15,100,98,True,2021-12-07 14:40:09,R_XtazvTr9vrQa12x,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Rarely,0,"To travel short distances/convenience,For leisure",I think scooters are too expensive,"Insufficient battery ,Unavailability",4: Acceptably safe,4: It’s expensive,"No, but I ride SPIN scooters",Yes,3,,,Female,18-25,"No "," < 1 mile",20148,"$100,000 to 149,999","Yes ","Walk ,Public transportation"
2021-12-07 14:38:31,2021-12-07 14:40:46,IP Address,128.237.82.10,100,134,True,2021-12-07 14:40:46,R_21vOb5QnuX2geQe,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Often,2,"Commuting to school,To travel short distances/convenience,For leisure",Other,"Insufficient battery ,Unavailability",4: Acceptably safe,2: It’s fairly priced,"No, but I ride SPIN scooters",,,No,Yes,Female,18-25,"No "," < 1 mile",15213,"$150,000 and greater","Yes ","Walk "
2021-12-07 14:38:14,2021-12-07 14:41:08,IP Address,128.237.82.6,100,174,True,2021-12-07 14:41:09,R_DHax8SWMMmdDZUl,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,No,Other,Yes,I have ridden one (or more) of these scooters.,Often,7,Commuting to school,Other,Payment issues,4: Acceptably safe,2: It’s fairly priced,"No, but I ride SPIN scooters",Yes,9,,,Male,18-25,"No "," < 1 mile",15213,"$25,000 to 49,999 ","Yes ","Walk "
2021-12-07 14:38:37,2021-12-07 14:41:45,IP Address,172.58.185.62,100,188,True,2021-12-07 14:41:47,R_11gZJiDxqViWIDe,,,,,40.43389892578125,-79.999603271484375,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Rarely,0,To travel short distances/convenience,I think scooters are too expensive,"Insufficient battery ",3: Partially safe,4: It’s expensive,"No, but I ride SPIN scooters",,,Yes,Yes,Male,18-25,"No "," < 1 mile",15213,"$150,000 and greater","Yes ","Walk "
2021-12-07 14:41:09,2021-12-07 14:43:54,IP Address,128.237.82.3,100,164,True,2021-12-07 14:43:54,R_1pXNbeu1zmjHW5A,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Sometimes,1,To travel short distances/convenience,I prefer taking the bus,Payment issues,4: Acceptably safe,4: It’s expensive,"No, but I ride SPIN scooters",Yes,9,,,Male,18-25,"No ",2.1 - 5 miles,15217,"$50,000 to 74,999","Yes ","Walk ,Public transportation"
2021-12-07 14:53:40,2021-12-07 14:55:33,IP Address,107.77.225.172,100,113,True,2021-12-07 14:55:34,R_Pt7BCXSN992zYfT,,,,,40.75030517578125,-74.00140380859375,anonymous,EN,Yes,University of Pittsburgh,Yes,I have ridden one (or more) of these scooters.,Rarely,1,Commuting to school,"I prefer walking  ","Payment issues,Insufficient battery ",3: Partially safe,4: It’s expensive,"No, but I ride SPIN scooters",,,Yes,No,Female,18-25,"No "," < 1 mile",15213,"$1 to $9,999","Yes ","Walk "
2021-12-07 14:52:56,2021-12-07 14:55:41,IP Address,128.237.82.4,100,165,True,2021-12-07 14:55:41,R_BG8l016f9VwPtRv,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,No,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Sometimes,1,Commuting to school,Other,"Payment issues,Insufficient battery ,Vague instructions ,Unavailability",3: Partially safe,4: It’s expensive,No,Yes,3,,,Female,18-25,"No ",1.1 - 2 miles,15213,"$50,000 to 74,999","Yes ","Walk ,Bike,Public transportation"
2021-12-07 14:53:58,2021-12-07 14:55:51,IP Address,128.237.82.2,100,112,True,2021-12-07 14:55:51,R_aVq9az5VDyR5yjD,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Often,4,To travel short distances/convenience,Other,"Insufficient battery ,Couldn't unlock the scooter ,Unavailability",5: Perfectly safe,4: It’s expensive,"No, but I ride SPIN scooters",,,Yes,Yes,Male,18-25,"No "," < 1 mile",60618,"$150,000 and greater","Yes ","Walk "
2021-12-07 14:55:04,2021-12-07 14:55:57,IP Address,128.237.82.11,100,52,True,2021-12-07 14:55:57,R_2TzSivaVTiK0GVQ,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Very Frequently,3,Commuting to work,I prefer driving/being driven,"Damaged scooter ",5: Perfectly safe,3: It’s slightly expensive,"No, but I ride SPIN scooters",,,No,No,Male,25-30,Yes,2.1 - 5 miles,15213,"$1 to $9,999","No ",Car
2021-12-07 14:53:19,2021-12-07 14:56:27,IP Address,128.237.82.10,100,187,True,2021-12-07 14:56:27,R_R4U1kPZDgg9vD7b,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Often,3,"Commuting to school,To travel short distances/convenience",Other,"Payment issues,Insufficient battery ",1: Not very safe,4: It’s expensive,"No, but I ride SPIN scooters",Yes,9,,,Male,25-30,"No ",1.1 - 2 miles,15217,"$50,000 to 74,999","Yes ",Public transportation
2021-12-07 14:55:10,2021-12-07 14:57:35,IP Address,128.237.82.3,100,144,True,2021-12-07 14:57:35,R_3hg0XJgSRQDcSXI,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Very Frequently,2,Commuting to school,"I do not think scooters are safe ,I think scooters are too expensive","Damaged scooter ,Insufficient battery ",2: Minimally safe,5: It’s very expensive,"No, but I ride SPIN scooters",,,No,No,Female,18-25,"No "," < 1 mile",15213,"$10,000 to $24,999","Yes ","Walk "
2021-12-07 14:55:07,2021-12-07 14:57:55,IP Address,128.237.82.4,100,167,True,2021-12-07 14:57:55,R_1LRtkhfpk2WlABu,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,No,I have seen a person (or people) on an electric scooter in the street,Never,0,I don't use scooters,"I prefer walking  ",Unavailability,3: Partially safe,3: It’s slightly expensive,No,Yes,1,,,Female,30-35,"No "," < 1 mile",15232,"$1 to $9,999","Yes ","Walk "
2021-12-07 14:56:11,2021-12-07 15:00:22,IP Address,128.237.82.2,100,250,True,2021-12-07 15:00:22,R_1cY4gEb6CusWEL1,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Often,1,For leisure,Other,"Payment issues,Insufficient battery ",4: Acceptably safe,3: It’s slightly expensive,"No, but I ride SPIN scooters",Yes,4,,,Male,18-25,"No "," < 1 mile",15289,"$150,000 and greater","Yes ","Walk "
2021-12-07 14:58:40,2021-12-07 15:01:02,IP Address,128.237.82.5,100,142,True,2021-12-07 15:01:03,R_21v3q8Vl2JrTNm1,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Rarely,0,Commuting to school,I prefer driving/being driven,Unavailability,4: Acceptably safe,2: It’s fairly priced,No,,,No,No,Female,25-30,"No ",1.1 - 2 miles,15213,"$50,000 to 74,999","Yes ",Car
2021-12-07 14:58:54,2021-12-07 15:01:19,IP Address,128.237.82.3,100,145,True,2021-12-07 15:01:20,R_2tLtvzyVwicXB2V,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,No,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Often,1,To travel short distances/convenience,Other,Unavailability,4: Acceptably safe,3: It’s slightly expensive,No,Yes,5,,,Female,18-25,"No "," < 1 mile",15217,"$1 to $9,999","Yes ","Walk ,Public transportation"
2021-12-07 14:58:54,2021-12-07 15:01:42,IP Address,128.237.82.2,100,167,True,2021-12-07 15:01:42,R_2BgKSQe72wYhd2l,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have seen a person (or people) on an electric scooter in the street,Never,0,I don't use scooters,"I do not think scooters are safe ",Unavailability,3: Partially safe,3: It’s slightly expensive,No,Yes,1,,,Female,18-25,"No "," < 1 mile",15217,"$1 to $9,999","Yes ",Public transportation
2021-12-07 14:57:41,2021-12-07 15:02:18,IP Address,107.77.225.35,100,277,True,2021-12-07 15:02:19,R_1pKEAvBpWP1Rm09,,,,,40.75030517578125,-74.00140380859375,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Sometimes,1,To travel short distances/convenience,Other,"Insufficient battery ",3: Partially safe,2: It’s fairly priced,"No, but I ride SPIN scooters",,,Yes,No,Male,18-25,"No "," < 1 mile",15213,"$50,000 to 74,999","Yes ","Walk "
2021-12-07 14:58:45,2021-12-07 15:02:27,IP Address,128.237.82.12,100,222,True,2021-12-07 15:02:27,R_2RPOxmBsKelyca6,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Rarely,0,To travel short distances/convenience,Other,Unavailability,1: Not very safe,4: It’s expensive,No,No,0,,,Male,25-30,"No ",2.1 - 5 miles,15222,"$75,000 to 99,999","Yes ",Car
2021-12-07 14:00:46,2021-12-07 15:04:48,IP Address,174.242.34.45,100,3842,True,2021-12-07 15:04:49,R_BWBXgLXXo9Biqsx,,,,,40.5457000732421875,-80.0507965087890625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have seen a person (or people) on an electric scooter in the street,Never,0,I don't use scooters,I prefer driving/being driven,"Vague instructions ",1: Not very safe,,No,,,Yes,No,Female,25-30,"No "," < 1 mile",15232,"$150,000 and greater","Yes ","Walk ,Car"
2021-12-07 15:05:47,2021-12-07 15:07:37,IP Address,128.237.82.2,100,109,True,2021-12-07 15:07:37,R_3g5AD0Qrl1UoixS,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,No,Carnegie Mellon University,Yes,I have not had any experiences with electric scooters,Never,0,I don't use scooters,"I prefer walking  ,I do not think scooters are safe ,I think scooters are too expensive",Payment issues,3: Partially safe,2: It’s fairly priced,No,,,No,Yes,Female,18-25,"No "," < 1 mile",52123,"$0 ","Yes ","Walk "
2021-12-07 15:05:25,2021-12-07 15:08:08,IP Address,174.242.34.125,100,162,True,2021-12-07 15:08:09,R_1FfBldYe3uq6mtL,,,,,40.5457000732421875,-80.0507965087890625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Rarely,0,For leisure,"I prefer taking the bus,I prefer driving/being driven,I prefer walking  ","Damaged scooter ,Insufficient battery ,Unavailability",2: Minimally safe,3: It’s slightly expensive,No,,,No,No,Female,25-30,"No ",2.1 - 5 miles,15233,"$75,000 to 99,999","Yes ","Walk ,Bike,Car,Public transportation"
2021-12-07 15:05:46,2021-12-07 15:08:10,IP Address,107.115.21.58,100,143,True,2021-12-07 15:08:10,R_3G70hGB3fmV5WlE,,,,,42.356201171875,-71.06310272216796875,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have not had any experiences with electric scooters,Never,0,I don't use scooters,"I just never got the chance to try it out, but I am inclined to soon",Unavailability,3: Partially safe,1: It’s cheap,Yes,Yes,0,,,Female,18-25,"No "," < 1 mile",52129,"$75,000 to 99,999","Yes ","Walk "
2021-12-07 15:05:48,2021-12-07 15:08:33,IP Address,128.237.82.2,100,164,True,2021-12-07 15:08:33,R_24GE2VwdqdjNoQT,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have seen a person (or people) on an electric scooter in the street,Never,0,I don't use scooters,I prefer taking the bus,"Vague instructions ",4: Acceptably safe,2: It’s fairly priced,No,,,Yes,Yes,Male,18-25,"No ",1.1 - 2 miles,15217,"$10,000 to $24,999","Yes ",Public transportation
2021-12-07 15:06:27,2021-12-07 15:08:42,IP Address,174.203.105.40,100,135,True,2021-12-07 15:08:43,R_22RBPoENw6AwTAn,,,,,40.404693603515625,-80.0131988525390625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Rarely,0,"To travel short distances/convenience,For leisure",Other,"Vague instructions ",3: Partially safe,3: It’s slightly expensive,"No, but I ride SPIN scooters",Yes,2,,,Female,18-25,"No ",1.1 - 2 miles,15217,"$25,000 to 49,999 ","Yes ","Walk ,Public transportation"
2021-12-07 15:06:27,2021-12-07 15:08:44,IP Address,174.203.96.228,100,136,True,2021-12-07 15:08:44,R_31iSatxSNt9Ofd3,,,,,40.269195556640625,-80.161102294921875,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have seen a person (or people) on an electric scooter in the street,Never,0,I don't use scooters,I prefer taking the bus,Payment issues,1: Not very safe,4: It’s expensive,No,Yes,1,,,Female,18-25,"No ",1.1 - 2 miles,80401,"$25,000 to 49,999 ","Yes ",Public transportation
2021-12-07 15:05:53,2021-12-07 15:08:45,IP Address,128.237.82.3,100,171,True,2021-12-07 15:08:45,R_2rDCW259Mxyfsb4,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Rarely,0,For leisure,Other,Payment issues,4: Acceptably safe,2: It’s fairly priced,No,No,1,,,Male,18-25,"No "," < 1 mile",15213,Prefer not to answer,"Yes ","Walk "
2021-12-07 15:06:14,2021-12-07 15:10:33,IP Address,172.58.203.217,100,258,True,2021-12-07 15:10:33,R_1eQO0YBkoRRIPC0,,,,,39.91949462890625,-75.15650177001953125,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Often,3,To travel short distances/convenience,Other,"Damaged scooter ,Unavailability",4: Acceptably safe,3: It’s slightly expensive,"No, but I ride SPIN scooters",,,Yes,Yes,Male,18-25,"No ",1.1 - 2 miles,15217,"$75,000 to 99,999","Yes ","Walk ,Public transportation"
2021-12-07 15:10:40,2021-12-07 15:12:13,IP Address,128.237.82.12,100,93,True,2021-12-07 15:12:13,R_12n9EJjksb4J50T,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have not had any experiences with electric scooters,Never,0,I don't use scooters,"I do not think scooters are safe ",Unavailability,1: Not very safe,4: It’s expensive,No,Yes,2,,,Male,18-25,"No "," < 1 mile",15213,"$10,000 to $24,999","Yes ","Walk "
2021-12-07 15:10:50,2021-12-07 15:12:31,IP Address,128.237.82.9,100,101,True,2021-12-07 15:12:31,R_TozxU0w75bMfbyx,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Never,0,I don't use scooters,I think scooters are too expensive,Unavailability,4: Acceptably safe,4: It’s expensive,No,,,Yes,Yes,Male,18-25,"No ",1.1 - 2 miles,15217,"$1 to $9,999","Yes ",Bike
2021-12-07 15:11:09,2021-12-07 15:13:08,IP Address,128.237.82.15,100,118,True,2021-12-07 15:13:08,R_2rVJ9aOEJuzqCoF,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Very Frequently,4,Commuting to school,Other,"Insufficient battery ",3: Partially safe,3: It’s slightly expensive,"No, but I ride SPIN scooters",Yes,5,,,Male,18-25,"No ",1.1 - 2 miles,15217,"$75,000 to 99,999","Yes ","Walk "
2021-12-07 15:13:33,2021-12-07 15:15:01,IP Address,128.237.82.4,100,88,True,2021-12-07 15:15:01,R_33gvoOijeMkVxq0,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have seen a person (or people) on an electric scooter in the street,Never,0,I don't use scooters,"I do not think scooters are safe ","Vague instructions ",2: Minimally safe,2: It’s fairly priced,Yes,,,No,No,Female,18-25,"No "," < 1 mile",15213,"$150,000 and greater","Yes ","Walk ,Public transportation"
2021-12-07 15:13:36,2021-12-07 15:15:02,IP Address,128.237.82.8,100,86,True,2021-12-07 15:15:03,R_V4Q42P2xlfwmKiJ,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have not had any experiences with electric scooters,Never,0,I don't use scooters,"I prefer taking the bus,I prefer walking  ,I think scooters are too expensive",Unavailability,3: Partially safe,,No,,,No,Yes,Male,18-25,"No "," < 1 mile",15232,"$1 to $9,999","Yes ","Walk ,Public transportation"
2021-12-07 15:13:44,2021-12-07 15:15:38,IP Address,128.237.82.8,100,113,True,2021-12-07 15:15:39,R_BRK854dwlaudRh7,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have seen a person (or people) on an electric scooter in the street,Never,0,I don't use scooters,"I do not think scooters are safe ",Payment issues,2: Minimally safe,3: It’s slightly expensive,Yes,,,No,No,Female,18-25,"No "," < 1 mile",15213,Prefer not to answer,"Yes ","Walk ,Public transportation"
2021-12-07 15:14:01,2021-12-07 15:15:43,IP Address,128.237.82.14,100,102,True,2021-12-07 15:15:44,R_2PBQEddZpQpJjHO,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have not had any experiences with electric scooters,Never,0,I don't use scooters,I prefer taking the bus,"Couldn't unlock the scooter ",2: Minimally safe,2: It’s fairly priced,No,No,0,,,Female,18-25,"No ",1.1 - 2 miles,15217,"$50,000 to 74,999","Yes ",Public transportation
2021-12-07 15:14:04,2021-12-07 15:16:03,IP Address,107.115.21.42,100,119,True,2021-12-07 15:16:04,R_3HSR5NP82mknqRJ,,,,,42.356201171875,-71.06310272216796875,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have seen a person (or people) on an electric scooter in the street,Never,0,I don't use scooters,"I prefer taking the bus,I think scooters are too expensive",Unavailability,4: Acceptably safe,3: It’s slightly expensive,No,Yes,9,,,Female,18-25,"No "," < 1 mile",15213,Prefer not to answer,"Yes ","Walk "
2021-12-07 15:14:20,2021-12-07 15:16:10,IP Address,128.237.82.12,100,109,True,2021-12-07 15:16:10,R_24eDaI2Qe87SShi,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Sometimes,0,To travel short distances/convenience,"I do not think scooters are safe ","Insufficient battery ",2: Minimally safe,4: It’s expensive,No,,,No,No,Female,18-25,"No "," < 1 mile",15213,Prefer not to answer,"Yes ","Walk ,Public transportation"
2021-12-07 15:14:25,2021-12-07 15:16:12,IP Address,128.237.82.11,100,107,True,2021-12-07 15:16:12,R_1mQz9SuvsE7K3SQ,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Rarely,0,For leisure,I think scooters are too expensive,Payment issues,3: Partially safe,4: It’s expensive,"No, but I ride SPIN scooters",No,3,,,Female,18-25,"No "," < 1 mile",94568,"$0 ","Yes ","Walk "
2021-12-07 15:14:29,2021-12-07 15:16:14,IP Address,128.237.82.15,100,104,True,2021-12-07 15:16:14,R_2Qxia0dsGxIBanO,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Rarely,0,I don't use scooters,"I prefer walking  ",Unavailability,3: Partially safe,1: It’s cheap,No,,,No,Yes,Female,18-25,"No "," < 1 mile",94582,"$150,000 and greater","Yes ","Walk "
2021-12-07 15:14:28,2021-12-07 15:16:18,IP Address,128.237.82.15,100,109,True,2021-12-07 15:16:18,R_XsVavaXhN0WT8vD,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Rarely,0,"Commuting to school,For leisure","I do not think scooters are safe ","Insufficient battery ",1: Not very safe,4: It’s expensive,"No, but I ride SPIN scooters",Yes,2,,,Male,18-25,"No "," < 1 mile",12211,"$150,000 and greater","Yes ","Walk "
2021-12-07 15:16:11,2021-12-07 15:17:38,IP Address,128.237.82.11,100,87,True,2021-12-07 15:17:38,R_9FtgOvQBixb3D9L,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Often,2,To travel short distances/convenience,"I prefer walking  ","Insufficient battery ,Unavailability",3: Partially safe,3: It’s slightly expensive,"No, but I ride SPIN scooters",,,Yes,No,Female,18-25,"No ",1.1 - 2 miles,15217,"$1 to $9,999","Yes ","Walk "
